file;vertices;edges;time;solsize;recsteps;finished;verified
/home/team3/files/wce-students-new/1-random/r001.dimacs;10;22;0.62;93;17;1;correct;
/home/team3/files/wce-students-new/1-random/r003.dimacs;10;13;0.59;66;3;1;correct;
/home/team3/files/wce-students-new/1-random/r005.dimacs;10;22;0.61;62;3;1;correct;
/home/team3/files/wce-students-new/1-random/r007.dimacs;10;17;0.59;98;17;1;correct;
/home/team3/files/wce-students-new/1-random/r009.dimacs;10;20;0.58;85;5;1;correct;
/home/team3/files/wce-students-new/1-random/r011.dimacs;20;159;0.62;367;9;1;correct;
/home/team3/files/wce-students-new/1-random/r013.dimacs;20;162;0.60;280;1;1;correct;
/home/team3/files/wce-students-new/1-random/r015.dimacs;20;116;0.58;233;3;1;correct;
/home/team3/files/wce-students-new/1-random/r017.dimacs;20;72;0.62;336;25;1;correct;
/home/team3/files/wce-students-new/1-random/r019.dimacs;20;108;0.63;359;13;1;correct;
/home/team3/files/wce-students-new/1-random/r021.dimacs;30;223;0.66;1019;15;1;correct;
/home/team3/files/wce-students-new/1-random/r023.dimacs;30;159;0.76;933;137;1;correct;
/home/team3/files/wce-students-new/1-random/r025.dimacs;30;197;0.66;793;51;1;correct;
/home/team3/files/wce-students-new/1-random/r027.dimacs;30;165;0.68;893;59;1;correct;
/home/team3/files/wce-students-new/1-random/r029.dimacs;30;296;0.65;740;9;1;correct;
/home/team3/files/wce-students-new/1-random/r031.dimacs;40;440;0.74;1398;71;1;correct;
/home/team3/files/wce-students-new/1-random/r033.dimacs;40;291;0.75;1589;67;1;correct;
/home/team3/files/wce-students-new/1-random/r035.dimacs;40;421;0.74;1631;57;1;correct;
/home/team3/files/wce-students-new/1-random/r037.dimacs;40;533;0.79;1644;75;1;correct;
/home/team3/files/wce-students-new/1-random/r039.dimacs;50;747;0.85;2181;25;1;correct;
/home/team3/files/wce-students-new/1-random/r041.dimacs;50;439;0.91;1945;91;1;correct;
/home/team3/files/wce-students-new/1-random/r043.dimacs;50;440;1.06;2436;159;1;correct;
/home/team3/files/wce-students-new/1-random/r045.dimacs;50;679;0.91;1993;69;1;correct;
/home/team3/files/wce-students-new/1-random/r047.dimacs;50;606;0.89;2161;43;1;correct;
/home/team3/files/wce-students-new/1-random/r049.dimacs;60;516;5.72;3243;3779;1;correct;
/home/team3/files/wce-students-new/1-random/r051.dimacs;60;943;0.92;2993;29;1;correct;
/home/team3/files/wce-students-new/1-random/r053.dimacs;70;1481;1.28;4253;149;1;correct;
/home/team3/files/wce-students-new/1-random/r055.dimacs;70;909;2.80;4352;2109;1;correct;
/home/team3/files/wce-students-new/1-random/r057.dimacs;80;1629;1.40;5673;145;1;correct;
/home/team3/files/wce-students-new/1-random/r059.dimacs;80;1619;1.43;5566;143;1;correct;
/home/team3/files/wce-students-new/1-random/r061.dimacs;90;1384;1.86;7305;205;1;correct;
/home/team3/files/wce-students-new/1-random/r063.dimacs;90;2970;1.93;7366;185;1;correct;
/home/team3/files/wce-students-new/1-random/r065.dimacs;100;1708;7.71;8291;1121;1;correct;
/home/team3/files/wce-students-new/1-random/r067.dimacs;100;2067;2.05;8086;227;1;correct;
/home/team3/files/wce-students-new/2-real-world/r001.dimacs;4;3;0.61;0;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r003.dimacs;6;8;0.57;21;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r005.dimacs;16;118;0.59;4;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r007.dimacs;16;107;0.57;7;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r009.dimacs;13;77;0.59;8;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r011.dimacs;14;88;0.58;10;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r013.dimacs;15;48;0.58;14;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r015.dimacs;10;14;0.58;16;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r017.dimacs;14;60;0.61;20;7;1;correct;
/home/team3/files/wce-students-new/2-real-world/r019.dimacs;16;112;0.59;22;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r021.dimacs;11;22;0.60;24;9;1;correct;
/home/team3/files/wce-students-new/2-real-world/r023.dimacs;16;39;0.62;80;29;1;correct;
/home/team3/files/wce-students-new/2-real-world/r025.dimacs;16;95;0.61;84;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r027.dimacs;16;84;0.60;88;19;1;correct;
/home/team3/files/wce-students-new/2-real-world/r029.dimacs;16;68;0.58;92;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r031.dimacs;13;75;0.61;102;29;1;correct;
/home/team3/files/wce-students-new/2-real-world/r033.dimacs;16;48;0.60;105;39;1;correct;
/home/team3/files/wce-students-new/2-real-world/r035.dimacs;16;45;0.58;122;23;1;correct;
/home/team3/files/wce-students-new/2-real-world/r037.dimacs;15;45;0.64;140;53;1;correct;
/home/team3/files/wce-students-new/2-real-world/r039.dimacs;18;139;0.59;7;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r041.dimacs;17;40;0.57;16;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r043.dimacs;16;92;0.60;21;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r045.dimacs;15;86;0.59;27;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r047.dimacs;15;81;0.60;38;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r048.dimacs;17;35;0.58;44;13;1;correct;
/home/team3/files/wce-students-new/2-real-world/r049.dimacs;18;143;0.59;46;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r051.dimacs;17;115;0.60;53;7;1;correct;
/home/team3/files/wce-students-new/2-real-world/r053.dimacs;15;82;0.57;56;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r055.dimacs;43;268;1.18;1064;963;1;correct;
/home/team3/files/wce-students-new/2-real-world/r057.dimacs;44;893;0.73;216;37;1;correct;
/home/team3/files/wce-students-new/2-real-world/r059.dimacs;44;784;0.98;1196;209;1;correct;
/home/team3/files/wce-students-new/2-real-world/r061.dimacs;44;634;1.11;1463;399;1;correct;
/home/team3/files/wce-students-new/2-real-world/r063.dimacs;44;759;0.71;280;21;1;correct;
/home/team3/files/wce-students-new/2-real-world/r065.dimacs;44;304;0.70;345;47;1;correct;
/home/team3/files/wce-students-new/2-real-world/r067.dimacs;44;554;1.11;787;607;1;correct;
/home/team3/files/wce-students-new/2-real-world/r069.dimacs;44;910;0.68;153;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r071.dimacs;45;313;0.70;226;35;1;correct;
/home/team3/files/wce-students-new/2-real-world/r073.dimacs;45;926;0.69;158;13;1;correct;
/home/team3/files/wce-students-new/2-real-world/r075.dimacs;45;438;0.86;774;141;1;correct;
/home/team3/files/wce-students-new/2-real-world/r077.dimacs;45;635;1.00;1321;213;1;correct;
/home/team3/files/wce-students-new/2-real-world/r079.dimacs;42;470;3.12;1461;4469;1;correct;
/home/team3/files/wce-students-new/2-real-world/r081.dimacs;45;833;0.86;840;127;1;correct;
/home/team3/files/wce-students-new/2-real-world/r083.dimacs;45;811;0.92;774;251;1;correct;
/home/team3/files/wce-students-new/2-real-world/r085.dimacs;45;782;1.13;1031;359;1;correct;
/home/team3/files/wce-students-new/2-real-world/r087.dimacs;46;927;0.71;343;17;1;correct;
/home/team3/files/wce-students-new/2-real-world/r089.dimacs;49;515;;;;0;
/home/team3/files/wce-students-new/2-real-world/r091.dimacs;64;902;0.95;1760;63;1;correct;
/home/team3/files/wce-students-new/2-real-world/r093.dimacs;62;1785;0.88;645;49;1;correct;
/home/team3/files/wce-students-new/2-real-world/r095.dimacs;64;1632;3.57;1801;1911;1;correct;
/home/team3/files/wce-students-new/2-real-world/r097.dimacs;60;805;;;;0;
/home/team3/files/wce-students-new/2-real-world/r099.dimacs;65;2023;0.76;428;31;1;correct;
/home/team3/files/wce-students-new/2-real-world/r101.dimacs;65;1254;1.75;3157;521;1;correct;
/home/team3/files/wce-students-new/2-real-world/r103.dimacs;62;1166;16.79;2031;12913;1;correct;
/home/team3/files/wce-students-new/2-real-world/r105.dimacs;65;1441;17.72;2820;11165;1;correct;
/home/team3/files/wce-students-new/2-real-world/r107.dimacs;57;917;;;;0;
/home/team3/files/wce-students-new/2-real-world/r109.dimacs;77;618;1.24;1470;381;1;correct;
/home/team3/files/wce-students-new/2-real-world/r111.dimacs;78;1837;;;;0;
/home/team3/files/wce-students-new/2-real-world/r113.dimacs;79;861;4.80;1808;2947;1;correct;
/home/team3/files/wce-students-new/2-real-world/r115.dimacs;80;2387;1.12;772;149;1;correct;
/home/team3/files/wce-students-new/2-real-world/r117.dimacs;81;531;2.46;485;1433;1;correct;
/home/team3/files/wce-students-new/2-real-world/r119.dimacs;82;1278;11.44;2056;5923;1;correct;
/home/team3/files/wce-students-new/2-real-world/r121.dimacs;119;2717;24.64;3546;6771;1;correct;
/home/team3/files/wce-students-new/2-real-world/r123.dimacs;119;2029;;;;0;
/home/team3/files/wce-students-new/2-real-world/r125.dimacs;128;4088;1.46;2008;109;1;correct;
/home/team3/files/wce-students-new/2-real-world/r127.dimacs;123;2155;;;;0;
/home/team3/files/wce-students-new/2-real-world/r129.dimacs;130;7692;1.34;1399;103;1;correct;
/home/team3/files/wce-students-new/2-real-world/r131.dimacs;137;1525;;;;0;
/home/team3/files/wce-students-new/2-real-world/r133.dimacs;127;1443;;;;0;
/home/team3/files/wce-students-new/2-real-world/r135.dimacs;108;2811;;;;0;
/home/team3/files/wce-students-new/2-real-world/r137.dimacs;146;3495;1.63;1784;117;1;correct;
/home/team3/files/wce-students-new/2-real-world/r139.dimacs;154;5117;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a001.dimacs;10;14;0.62;246;15;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a002.dimacs;10;8;0.59;41;3;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a003.dimacs;10;27;0.59;367;7;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a005.dimacs;20;50;0.64;1228;41;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a007.dimacs;20;143;0.65;3170;53;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a009.dimacs;30;138;0.74;4233;221;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a011.dimacs;30;214;0.61;205;1;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a013.dimacs;40;277;18.63;8669;55099;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a015.dimacs;40;484;0.74;3603;23;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a017.dimacs;50;474;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a019.dimacs;50;775;0.91;10169;41;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a021.dimacs;60;639;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a023.dimacs;60;1333;2.44;16449;1045;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a025.dimacs;70;706;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a027.dimacs;70;1319;0.91;7933;21;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a029.dimacs;80;1231;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a031.dimacs;80;2077;1.27;17485;67;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a033.dimacs;90;1353;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a035.dimacs;90;3028;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a037.dimacs;100;1413;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a039.dimacs;100;4320;1.28;25461;33;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a041.dimacs;110;2058;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a043.dimacs;110;4392;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a045.dimacs;120;2340;;;;0;
